Legacy ID, Site Name,,,,,,,
1030,Site M1 between M1 J30 and M1 J31 (LM205); GPS Ref: 447009;376798 - 447769:385190; A,,,,,,,
,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value
01/01/2014,9:15:00,14,25,22,2,0,1,83
01/01/2014,9:30:00,14,48,36,12,0,0,80.8
01/01/2014,9:45:00,14,54,47,6,0,1,81.49
01/01/2014,10:00:00,14,81,74,6,0,1,79.89
01/01/2014,10:15:00,14,126,113,11,0,2,79.91
01/01/2014,10:30:00,14,125,104,18,0,3,79.48
01/01/2014,10:45:00,14,186,160,19,3,4,78.63
01/01/2014,11:00:00,14,209,185,17,2,5,78.99
01/01/2014,11:15:00,14,255,229,21,2,3,77.5
01/01/2014,11:30:00,14,246,222,20,1,3,78.14
01/01/2014,11:45:00,14,294,259,29,1,5,77.55
01/01/2014,12:00:00,14,329,286,37,1,5,76.86
01/01/2014,12:15:00,14,353,315,31,2,5,77.67
01/01/2014,9:00:00,14,29,23,5,1,0,83
01/01/2014,8:45:00,14,36,25,7,2,2,82.96
01/01/2014,8:30:00,14,29,25,3,1,0,84.82
01/01/2014,8:15:00,14,26,19,5,1,1,84.45
01/01/2014,8:00:00,14,30,24,2,2,2,80
01/01/2014,7:45:00,14,16,13,2,0,1,83.45
01/01/2014,7:30:00,14,28,25,1,0,2,81.9
01/01/2014,7:15:00,14,26,20,3,2,1,79.59
01/01/2014,7:00:00,14,28,24,3,0,1,84.05
01/01/2014,6:45:00,14,31,24,3,3,1,78.98
01/01/2014,6:30:00,14,17,12,4,0,1,84.7
01/01/2014,6:15:00,14,20,20,0,0,0,81.26
01/01/2014,6:00:00,14,25,18,4,1,2,81.69
01/01/2014,5:45:00,14,32,28,2,1,1,81.19
01/01/2014,5:30:00,14,27,22,5,0,0,82.31
01/01/2014,5:15:00,14,33,24,7,0,2,85.52
01/01/2014,5:00:00,14,27,22,2,1,2,82.78
