Legacy ID, Site Name,,,,,,,
1031,Site M1 between M1 J32 and M1 J31 (LM208); GPS Ref: 447215;389111 - 447799:385343; B,,,,,,,
,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value
01/01/2014,0:00:00,14,33,26,1,1,5,98.33
01/01/2014,0:15:00,14,43,37,4,0,2,100.01
01/01/2014,0:30:00,14,63,58,2,1,2,95.71
01/01/2014,0:45:00,14,80,74,0,3,3,97.76
01/01/2014,1:00:00,14,87,83,1,1,2,96.63
01/01/2014,1:15:00,14,88,80,2,0,6,96.59
01/01/2014,1:30:00,14,79,75,2,1,1,96.61
01/01/2014,1:45:00,14,90,82,2,2,4,97.13
01/01/2014,2:00:00,14,69,64,2,1,2,95.79
01/01/2014,2:15:00,14,67,65,1,0,1,93.68
01/01/2014,2:30:00,14,62,51,6,2,3,95.05
01/01/2014,2:45:00,14,54,42,0,3,9,97.53
01/01/2014,3:00:00,14,39,34,1,2,2,99.26
01/01/2014,3:15:00,14,52,48,0,2,2,96.36
01/01/2014,3:30:00,14,44,35,8,1,0,96.61
01/01/2014,3:45:00,14,43,33,3,1,6,96.77
01/01/2014,4:00:00,14,37,32,1,0,4,95.92
01/01/2014,4:15:00,14,29,24,1,0,4,99.41
01/01/2014,4:30:00,14,34,28,0,0,6,98.62
01/01/2014,4:45:00,14,23,18,1,1,3,98.64
01/01/2014,5:00:00,14,41,37,0,1,3,99.18
01/01/2014,5:15:00,14,47,38,6,0,3,96.83
01/01/2014,5:30:00,14,47,36,2,5,4,95.96
01/01/2014,5:45:00,14,46,35,2,1,8,96.72
01/01/2014,6:00:00,14,60,48,2,1,9,94.51
01/01/2014,6:15:00,14,65,53,4,3,5,95.77
01/01/2014,6:30:00,14,40,32,3,3,2,96.04
01/01/2014,6:45:00,14,59,50,1,2,6,97.61
01/01/2014,7:00:00,14,88,61,7,2,18,93.83
01/01/2014,7:15:00,14,58,49,1,2,6,97.96
01/01/2014,7:30:00,14,89,71,5,5,8,95.38
01/01/2014,7:45:00,14,75,64,3,1,7,96.86
01/01/2014,8:00:00,14,87,70,4,2,11,95.92
01/01/2014,8:15:00,14,100,79,4,4,13,95.41
01/01/2014,8:30:00,14,113,97,3,4,9,96.09
01/01/2014,8:45:00,14,138,114,8,3,13,96.01
01/01/2014,9:00:00,14,136,125,2,2,7,96.58
01/01/2014,9:15:00,14,200,182,3,5,10,96.84
01/01/2014,9:30:00,14,212,181,4,8,19,95.68
01/01/2014,9:45:00,14,271,249,4,3,15,97
01/01/2014,10:00:00,14,300,266,7,4,23,96.09
01/01/2014,10:15:00,14,353,325,12,4,12,95.57
01/01/2014,10:30:00,14,412,389,7,1,15,95.3
01/01/2014,10:45:00,14,451,414,6,5,26,94.89
01/01/2014,11:00:00,14,531,495,7,4,25,93.37
01/01/2014,11:15:00,14,561,539,3,5,14,93.21
01/01/2014,11:30:00,14,684,659,3,6,16,91.92
01/01/2014,11:45:00,14,754,729,9,5,11,91.85
01/01/2014,12:00:00,14,716,683,7,5,21,90.12
01/01/2014,12:15:00,14,745,714,10,7,14,89.62
01/01/2014,12:30:00,14,853,819,9,7,18,88.6
01/01/2014,12:45:00,14,750,712,10,12,16,90.25
01/01/2014,13:00:00,14,769,733,9,6,21,90.1
01/01/2014,13:15:00,14,674,655,8,2,9,91.33
01/01/2014,13:30:00,14,999,952,9,14,24,90.69
01/01/2014,13:45:00,14,782,759,7,4,12,92.33
01/01/2014,14:00:00,14,784,751,9,9,15,93.83
01/01/2014,14:15:00,14,838,813,6,5,14,92.68
01/01/2014,14:30:00,14,795,760,8,6,21,92.93
01/01/2014,14:45:00,14,785,759,6,5,15,92.76
01/01/2014,15:00:00,14,822,797,4,3,18,92.64
01/01/2014,15:15:00,14,807,763,9,7,28,92.57
01/01/2014,15:30:00,14,887,845,14,2,26,91.75
01/01/2014,15:45:00,14,818,786,9,4,19,91.79
01/01/2014,16:00:00,14,824,788,6,11,19,91.2
01/01/2014,16:15:00,14,739,698,9,6,26,91.95
01/01/2014,16:30:00,14,693,665,4,4,20,91.56
01/01/2014,16:45:00,14,727,688,12,11,16,91.38
01/01/2014,17:00:00,14,789,747,5,3,34,91.5
01/01/2014,17:15:00,14,915,875,6,8,26,91.18
01/01/2014,17:30:00,14,925,889,5,8,23,88.65
01/01/2014,17:45:00,14,868,822,17,4,25,88.56
01/01/2014,18:00:00,14,650,622,6,0,22,91.59
01/01/2014,18:15:00,14,647,613,9,2,23,91.81
01/01/2014,18:30:00,14,500,462,10,4,24,93.06
01/01/2014,18:45:00,14,502,468,1,3,30,93.34
01/01/2014,19:00:00,14,483,461,3,0,19,93.11
01/01/2014,19:15:00,14,471,437,9,5,20,91.84
01/01/2014,19:30:00,14,479,437,3,9,30,91.72
01/01/2014,19:45:00,14,408,366,2,8,32,93.35
01/01/2014,20:00:00,14,408,377,4,4,23,94.2
01/01/2014,20:15:00,14,382,350,5,3,24,92.64
01/01/2014,20:30:00,14,317,285,4,5,23,92.59
01/01/2014,20:45:00,14,310,281,5,4,20,94.16
01/01/2014,21:00:00,14,311,288,2,5,16,94.04
01/01/2014,21:15:00,14,281,248,5,2,26,93.79
01/01/2014,21:30:00,14,236,202,3,4,27,93.92
01/01/2014,21:45:00,14,173,152,2,3,16,96.81
01/01/2014,22:00:00,14,157,125,4,4,24,94.85
01/01/2014,22:15:00,14,159,130,2,6,21,94.15
01/01/2014,22:30:00,14,158,124,7,4,23,94.08
01/01/2014,22:45:00,14,115,95,2,3,15,95.16
01/01/2014,23:00:00,14,102,83,1,5,13,96.79
01/01/2014,23:15:00,14,117,84,3,10,20,94.93
01/01/2014,23:30:00,14,78,57,1,3,17,93.29
01/01/2014,23:45:00,14,75,50,4,1,20,95.07
02/01/2014,0:00:00,7,51,32,3,5,11,95.34
02/01/2014,0:15:00,7,76,50,1,6,19,94.56
02/01/2014,0:30:00,7,55,36,4,4,11,95.71
02/01/2014,0:45:00,7,59,40,4,1,14,94.01
02/01/2014,1:00:00,7,54,26,3,4,21,92.92
02/01/2014,1:15:00,7,46,19,5,3,19,94.52
02/01/2014,1:30:00,7,40,15,4,2,19,93.99
02/01/2014,1:45:00,7,50,20,2,8,20,91.11
02/01/2014,2:00:00,7,52,23,2,3,24,95.53
02/01/2014,2:15:00,7,46,23,3,3,17,91.36
